state_name,year,quarter_file,total_transactions,total_amount
dadra-&-nagar-haveli-&-daman-&-diu,2021,2.json,2125083,3157668460.949
tripura,2021,2.json,1744429,3468154360.582
arunachal-pradesh,2021,2.json,1568338,4456425616.931001
nagaland,2021,2.json,1130791,3156293964.128
sikkim,2021,2.json,976714,2424899580.016
meghalaya,2021,2.json,909594,2193617255.082
ladakh,2021,2.json,399716,1427259094.995
mizoram,2021,2.json,394340,1122874473.2975
andaman-&-nicobar-islands,2021,2.json,341414,899147016.13
lakshadweep,2021,2.json,11384,27383463.6546
maharashtra,2021,3.json,792874060,1159257447148.9
karnataka,2021,3.json,753296539,1133234687898.7998
telangana,2021,3.json,622886768,1178289136501.8
andhra-pradesh,2021,3.json,432032550,984217532931.4
rajasthan,2021,3.json,400284753,710511207449.2001
madhya-pradesh,2021,3.json,311443334,504412890965
uttar-pradesh,2021,3.json,306543384,557080925398.1
delhi,2021,3.json,238760608,383858783942.3
tamil-nadu,2021,3.json,204357404,365207243759.89996
bihar,2021,3.json,187671113,397062658172.1
west-bengal,2021,3.json,181712988,362457334905.80005
odisha,2021,3.json,177362674,303780858408.30005
gujarat,2021,3.json,149248407,272624299513.30002
haryana,2021,3.json,140459693,240827413959.1
jharkhand,2021,3.json,70795702,121891015119.15
chhattisgarh,2021,3.json,64237938,104606108262.4
kerala,2021,3.json,63028266,101686161772.90001
punjab,2021,3.json,42533489,85992560840.39
assam,2021,3.json,33504441,75700499272.84
uttarakhand,2021,3.json,31042284,50527496783.21001
jammu-&-kashmir,2021,3.json,13151041,31598443647.83
himachal-pradesh,2021,3.json,12064167,21310262071.76
chandigarh,2021,3.json,6649378,11815883004.154
goa,2021,3.json,6467763,10478425592.87
puducherry,2021,3.json,5121726,8729974431.131
manipur,2021,3.json,3941396,10406861029.357
dadra-&-nagar-haveli-&-daman-&-diu,2021,3.json,3129470,4305939102.714
tripura,2021,3.json,2081200,4364133768.023
arunachal-pradesh,2021,3.json,1906967,5678124175.277
nagaland,2021,3.json,1356792,3987416848.172
sikkim,2021,3.json,1160594,2989336863.5030003
meghalaya,2021,3.json,1097731,2769000451.369
ladakh,2021,3.json,590987,2213984743.802
mizoram,2021,3.json,478529,1473748649.9508998
andaman-&-nicobar-islands,2021,3.json,449764,1310024395.629
lakshadweep,2021,3.json,13370,38803163.698070005
maharashtra,2021,4.json,1010731502,1475355712418.3
karnataka,2021,4.json,931725438,1375470199997.3
telangana,2021,4.json,775989773,1463757199569.5999
andhra-pradesh,2021,4.json,522254003,1156264748238.4
rajasthan,2021,4.json,487621597,903934121943.5
uttar-pradesh,2021,4.json,406157932,773891058479.8
madhya-pradesh,2021,4.json,404308084,656887872326
delhi,2021,4.json,292683359,488695341727.9
tamil-nadu,2021,4.json,259155976,443723527996.89996
bihar,2021,4.json,245126945,519371516054.7
odisha,2021,4.json,233925366,385250936890
west-bengal,2021,4.json,225029560,462218146057.2
gujarat,2021,4.json,182987325,342382839327.5
haryana,2021,4.json,169686975,309240605482.8
jharkhand,2021,4.json,96009042,166017443896.01
chhattisgarh,2021,4.json,84717494,136399113203
kerala,2021,4.json,81823741,123342136943.5
punjab,2021,4.json,52359360,110710126242.20001
assam,2021,4.json,46020361,104184967893.41
uttarakhand,2021,4.json,40361280,66148108159.56
jammu-&-kashmir,2021,4.json,16790628,38926237426.119995
himachal-pradesh,2021,4.json,14666864,26136220501.46
goa,2021,4.json,11088759,18627257116.260002
chandigarh,2021,4.json,7898903,14373583510.640001
puducherry,2021,4.json,6368810,10423651800.843998
manipur,2021,4.json,4687439,12658472038.220999
dadra-&-nagar-haveli-&-daman-&-diu,2021,4.json,4157085,5565839386.487
tripura,2021,4.json,2520693,5496929464.208
arunachal-pradesh,2021,4.json,2390598,6943510352.466
nagaland,2021,4.json,1631483,4939083784.191001
sikkim,2021,4.json,1584345,4196783262.0220003
meghalaya,2021,4.json,1440193,3848765400.461
andaman-&-nicobar-islands,2021,4.json,636123,1932610101.0199997
ladakh,2021,4.json,630187,2153535138.56
mizoram,2021,4.json,553329,1770665741.086
lakshadweep,2021,4.json,15470,50998185.52695
maharashtra,2022,1.json,1169506438,1681399612177.3
karnataka,2022,1.json,1057855407,1566650508157.5
telangana,2022,1.json,886453385,1670638739380.7
andhra-pradesh,2022,1.json,582603911,1294321778041.4001
rajasthan,2022,1.json,564962220,1022049632317.6
uttar-pradesh,2022,1.json,473953246,883123359524.7
madhya-pradesh,2022,1.json,472703058,747665215199
delhi,2022,1.json,330999861,536964875147.5
tamil-nadu,2022,1.json,294573150,512789491342.2
bihar,2022,1.json,284390434,611411889188.5
odisha,2022,1.json,263633499,451226850672.80005
west-bengal,2022,1.json,260505092,551426922771.4
gujarat,2022,1.json,210547146,392547817565.80005
haryana,2022,1.json,191988609,341303801652.8
jharkhand,2022,1.json,110911210,194699870430.78
chhattisgarh,2022,1.json,97413292,157847184934.11
kerala,2022,1.json,95280965,139988672241
assam,2022,1.json,58889886,132280085544.86
punjab,2022,1.json,57758302,118389978107.01
uttarakhand,2022,1.json,44560772,70978782499.96
jammu-&-kashmir,2022,1.json,16245311,33147863626.76
himachal-pradesh,2022,1.json,16088180,26518447439.86
goa,2022,1.json,12214098,19816445402.889996
chandigarh,2022,1.json,8600491,15174991549.76
puducherry,2022,1.json,7359176,12083474905.227
manipur,2022,1.json,5313679,14144501077.706999
dadra-&-nagar-haveli-&-daman-&-diu,2022,1.json,4802803,6237048368.000001
tripura,2022,1.json,2871190,6247329764.332
arunachal-pradesh,2022,1.json,2804068,7828091627.606
nagaland,2022,1.json,1925952,5544951709.253
sikkim,2022,1.json,1744302,4367431275.889999
meghalaya,2022,1.json,1674750,4662338331.596
andaman-&-nicobar-islands,2022,1.json,794748,2129030202.3650002
ladakh,2022,1.json,630015,2025040919.1899998
mizoram,2022,1.json,604917,1945158963.61
lakshadweep,2022,1.json,16397,54939432.656390004
maharashtra,2022,2.json,1407533113,2006270118994.8
karnataka,2022,2.json,1277448960,1867145545662.0999
telangana,2022,2.json,1063382557,1951410052117
andhra-pradesh,2022,2.json,671134030,1479855361034.9
rajasthan,2022,2.json,661170150,1152833532153.7
uttar-pradesh,2022,2.json,595298776,1067514736108.4
madhya-pradesh,2022,2.json,544899829,867024817108
delhi,2022,2.json,410634184,629856048834.5
bihar,2022,2.json,360145029,754461413712
tamil-nadu,2022,2.json,354506937,590134485770
west-bengal,2022,2.json,315742141,648575478990.1
odisha,2022,2.json,313451598,510035354892.26996
gujarat,2022,2.json,252052796,446798220499.60004
haryana,2022,2.json,234699962,395234238044
jharkhand,2022,2.json,132925275,225636328630.62
chhattisgarh,2022,2.json,116584048,181181729924.96
kerala,2022,2.json,106365322,154696613429.8
assam,2022,2.json,76334725,153111128981.75998
punjab,2022,2.json,72272823,137345357828.26001
uttarakhand,2022,2.json,58166878,88313371024.87
jammu-&-kashmir,2022,2.json,23813747,46254290836.79
himachal-pradesh,2022,2.json,21291371,33709107957.74
goa,2022,2.json,14216054,22873037759.629997
chandigarh,2022,2.json,10772489,17283500158.700996
puducherry,2022,2.json,8643687,13778745256.619
manipur,2022,2.json,6105632,14922910635.250002
dadra-&-nagar-haveli-&-daman-&-diu,2022,2.json,5759771,6995159780.841999
arunachal-pradesh,2022,2.json,3556925,9131665374.18
tripura,2022,2.json,3418664,6878271042.705
sikkim,2022,2.json,2322081,5611105670.125
meghalaya,2022,2.json,2044649,5281491421.740001
nagaland,2022,2.json,2031329,5740285348.820999
ladakh,2022,2.json,1118073,3543318177.7329993
andaman-&-nicobar-islands,2022,2.json,1071217,2685920349.6210003
mizoram,2022,2.json,643977,2003186566.8424997
lakshadweep,2022,2.json,17569,55929601.99265
telangana,2022,3.json,1628165401,2706322895209.5
maharashtra,2022,3.json,1486389417,1947583916989.2
karnataka,2022,3.json,1189761328,1665913600163.0999
rajasthan,2022,3.json,767541360,1238489177981.4001
madhya-pradesh,2022,3.json,731259559,1032908163928.2999
uttar-pradesh,2022,3.json,703589072,1121369889665.5
andhra-pradesh,2022,3.json,642855035,1385073063169.1
delhi,2022,3.json,475592161,677613271511.2001
bihar,2022,3.json,437367385,791446683961
tamil-nadu,2022,3.json,393496175,631878726302
odisha,2022,3.json,386687326,564545558635.4
west-bengal,2022,3.json,356792388,704749632209.3999
gujarat,2022,3.json,303239732,497437692884.89996
haryana,2022,3.json,269361810,428054925472.6
chhattisgarh,2022,3.json,158252587,220161343653.34
jharkhand,2022,3.json,146815332,229412417781.53
kerala,2022,3.json,119362904,162260416170.2
assam,2022,3.json,86113811,161489375202.72998
punjab,2022,3.json,84177897,149319064931.34
uttarakhand,2022,3.json,63996519,92641259938.71
himachal-pradesh,2022,3.json,25164868,37380782688.01
jammu-&-kashmir,2022,3.json,22534394,40963554502.94
chandigarh,2022,3.json,13478173,20559757737.161
goa,2022,3.json,13188687,19574265274.96
puducherry,2022,3.json,7042727,10854317711.752
dadra-&-nagar-haveli-&-daman-&-diu,2022,3.json,6465621,7520647359.903
manipur,2022,3.json,6352742,15381430267.032999
meghalaya,2022,3.json,4359165,9603300797.452
tripura,2022,3.json,4256579,8648352804.588001
arunachal-pradesh,2022,3.json,3939418,9025110784.277998
sikkim,2022,3.json,2396758,5162880544.253
nagaland,2022,3.json,1894113,5364400495.179
andaman-&-nicobar-islands,2022,3.json,1584379,3310631772.5790005
ladakh,2022,3.json,1190858,3605199349.898
mizoram,2022,3.json,659038,1946265612.0953
lakshadweep,2022,3.json,15241,47580009.62189999
telangana,2022,4.json,1819506832,2978252159485.3
maharashtra,2022,4.json,1688775272,2210471642674.7
karnataka,2022,4.json,1378910371,1904519263737.9001
madhya-pradesh,2022,4.json,898828268,1303000061162.3
rajasthan,2022,4.json,865574848,1456956008838.7
uttar-pradesh,2022,4.json,836369071,1376383271767.1
andhra-pradesh,2022,4.json,690017077,1424725645661.1
bihar,2022,4.json,517084649,936011807354.9
delhi,2022,4.json,515203457,744914805361.4
odisha,2022,4.json,445714743,652217577680.2001
tamil-nadu,2022,4.json,436316636,675689250041.7
west-bengal,2022,4.json,405847597,787775693893.3
gujarat,2022,4.json,341156018,567917726133.3
haryana,2022,4.json,296648365,490490295860.9
chhattisgarh,2022,4.json,177960446,252519300117.63
jharkhand,2022,4.json,175300092,277972087051.57
kerala,2022,4.json,132960468,173560080896.1
assam,2022,4.json,103981267,192653121518.52002
punjab,2022,4.json,91835180,168107659222.83002
uttarakhand,2022,4.json,77983880,115496046831.78
himachal-pradesh,2022,4.json,28555136,41779343232.420006
jammu-&-kashmir,2022,4.json,27316158,44315295915.83
chandigarh,2022,4.json,17904840,27879754566.93
goa,2022,4.json,17192674,24924986370.91
puducherry,2022,4.json,7556127,11142204877.328
dadra-&-nagar-haveli-&-daman-&-diu,2022,4.json,7189585,8059640745.469
manipur,2022,4.json,6428670,15625956697.468
tripura,2022,4.json,5198190,10452971817.931002
arunachal-pradesh,2022,4.json,4632709,9684909697.894001
meghalaya,2022,4.json,3932448,8996541156.151001
sikkim,2022,4.json,3058339,6458385389.321
nagaland,2022,4.json,2476205,6969966384.576
andaman-&-nicobar-islands,2022,4.json,1987535,3984674404.674
ladakh,2022,4.json,1083372,2894477573.095
mizoram,2022,4.json,693774,2037911084.9758
lakshadweep,2022,4.json,17147,54813873.61103
maharashtra,2023,1.json,1848268499,2362283110776
karnataka,2023,1.json,1844697189,2470227968061
telangana,2023,1.json,1440331458,2372578001135
andhra-pradesh,2023,1.json,1145532464,2249053415898
uttar-pradesh,2023,1.json,1002557722,1636936625305
rajasthan,2023,1.json,921096686,1554909010873
madhya-pradesh,2023,1.json,734566970,1062027199588
bihar,2023,1.json,547831195,1039276645175
odisha,2023,1.json,482896088,753969724321
tamil-nadu,2023,1.json,461212387,715583056703
west-bengal,2023,1.json,459278344,896882898775
delhi,2023,1.json,409753103,611402720698
haryana,2023,1.json,381318464,591150727053
gujarat,2023,1.json,362511326,597826711120
jharkhand,2023,1.json,240458103,367371790947
chhattisgarh,2023,1.json,214748957,301089252454
kerala,2023,1.json,147621565,193637170408
assam,2023,1.json,113760638,212354013338
punjab,2023,1.json,96910821,175508331709
uttarakhand,2023,1.json,79385675,107179907585
jammu-&-kashmir,2023,1.json,38927244,55921747581
himachal-pradesh,2023,1.json,27301726,37740947734
goa,2023,1.json,24195070,35096965775
dadra-&-nagar-haveli-&-daman-&-diu,2023,1.json,11803985,12614091200
puducherry,2023,1.json,10144295,14222388506
chandigarh,2023,1.json,9815605,12824894394
arunachal-pradesh,2023,1.json,8042825,16394578454
tripura,2023,1.json,7118687,13288282891
meghalaya,2023,1.json,4164705,10084840615
sikkim,2023,1.json,3396128,6762568022
manipur,2023,1.json,3258383,8585564092
nagaland,2023,1.json,2685570,7814397854
andaman-&-nicobar-islands,2023,1.json,2276392,4461528587
ladakh,2023,1.json,1567246,3849021298
mizoram,2023,1.json,1052595,2955622739
lakshadweep,2023,1.json,29520,85321961
karnataka,2023,2.json,2067867526,2777597346459
maharashtra,2023,2.json,2063717848,2606002755102
telangana,2023,2.json,1665430971,2698152132584
andhra-pradesh,2023,2.json,1305656964,2506041193495
uttar-pradesh,2023,2.json,1211410582,1836624121621
rajasthan,2023,2.json,1073459338,1698458563277
madhya-pradesh,2023,2.json,848037060,1202441668812
bihar,2023,2.json,683933094,1226047173462
west-bengal,2023,2.json,545317686,1009315695098
odisha,2023,2.json,544597829,799331733506
tamil-nadu,2023,2.json,498429638,776362630443
delhi,2023,2.json,482138998,661728558948
haryana,2023,2.json,457536190,661742447775
gujarat,2023,2.json,416922553,645407563843
jharkhand,2023,2.json,289233893,422215048610
chhattisgarh,2023,2.json,249931636,333157040291
kerala,2023,2.json,156170617,207796553787
assam,2023,2.json,138290953,235110505802
punjab,2023,2.json,117290289,194181925313
uttarakhand,2023,2.json,102758214,134072872398
jammu-&-kashmir,2023,2.json,54588299,76530005380
himachal-pradesh,2023,2.json,35061595,46875063718
goa,2023,2.json,26530590,38412206943
dadra-&-nagar-haveli-&-daman-&-diu,2023,2.json,13357115,13750538188
chandigarh,2023,2.json,11553687,14414408750
puducherry,2023,2.json,11130326,15386733257
arunachal-pradesh,2023,2.json,10360488,19805698664
tripura,2023,2.json,7929543,13919130082
meghalaya,2023,2.json,5077212,11084506486
sikkim,2023,2.json,4412967,8580350436
ladakh,2023,2.json,2943815,7191103886
nagaland,2023,2.json,2922001,8021399310
andaman-&-nicobar-islands,2023,2.json,2707775,4990344236
manipur,2023,2.json,1606271,4463876653
mizoram,2023,2.json,1208930,3191806576
lakshadweep,2023,2.json,34918,97987438
karnataka,2023,3.json,2369262302,2985878234057
maharashtra,2023,3.json,2290678587,2752173576325
telangana,2023,3.json,1875045924,2870198390544
andhra-pradesh,2023,3.json,1475164403,2653409202887
uttar-pradesh,2023,3.json,1354622466,1861752208334
rajasthan,2023,3.json,1237232167,1800228638889
madhya-pradesh,2023,3.json,978812593,1237821509466
bihar,2023,3.json,734238751,1148152838024
west-bengal,2023,3.json,632093191,1071548122171
odisha,2023,3.json,622397603,840298724997
tamil-nadu,2023,3.json,556085008,833105018021
delhi,2023,3.json,546706983,708199439855
haryana,2023,3.json,501519478,677491569062
gujarat,2023,3.json,479303590,707736900536
jharkhand,2023,3.json,318237426,418384322759
chhattisgarh,2023,3.json,283492657,350379442517
kerala,2023,3.json,170658651,220332628648
assam,2023,3.json,167575351,244058511727
punjab,2023,3.json,132161181,205225159862
uttarakhand,2023,3.json,106284687,128762398121
jammu-&-kashmir,2023,3.json,63903579,86016148426
himachal-pradesh,2023,3.json,33337054,41854571637
goa,2023,3.json,26999728,37375179974
dadra-&-nagar-haveli-&-daman-&-diu,2023,3.json,15370328,15096066463
chandigarh,2023,3.json,13052165,15426783311
arunachal-pradesh,2023,3.json,12802433,21127391086
puducherry,2023,3.json,12379641,16444491839
tripura,2023,3.json,9108762,15249223330
meghalaya,2023,3.json,6029842,11406633080
sikkim,2023,3.json,4804937,8107237421
ladakh,2023,3.json,3621366,8250572243
nagaland,2023,3.json,3422331,8616299673
andaman-&-nicobar-islands,2023,3.json,3098376,5211596791
mizoram,2023,3.json,1310413,3106130235
manipur,2023,3.json,865478,3608286601
lakshadweep,2023,3.json,43757,94527061
maharashtra,2023,4.json,2572162725,3098011264389
karnataka,2023,4.json,2564434164,3241373654858
telangana,2023,4.json,2020822178,3116418326644
andhra-pradesh,2023,4.json,1596987426,2802517839124
uttar-pradesh,2023,4.json,1566705382,2257439853744
rajasthan,2023,4.json,1349472154,2066382379131
madhya-pradesh,2023,4.json,1102294613,1426501652332
bihar,2023,4.json,924427274,1434733500410
west-bengal,2023,4.json,737953238,1249395593186
odisha,2023,4.json,732137476,978791854347
delhi,2023,4.json,598150746,799649065941
tamil-nadu,2023,4.json,593481381,872870174298
haryana,2023,4.json,554748233,782271043274
gujarat,2023,4.json,534115578,795087226414
jharkhand,2023,4.json,374538362,498719802309
chhattisgarh,2023,4.json,321876332,403984749633
assam,2023,4.json,193752157,285603699191
kerala,2023,4.json,179843093,224985103847
punjab,2023,4.json,142228995,231139386476
uttarakhand,2023,4.json,118071440,148083550650
jammu-&-kashmir,2023,4.json,69167132,93070141760
himachal-pradesh,2023,4.json,38651839,48280246564
goa,2023,4.json,33460978,44287671557
dadra-&-nagar-haveli-&-daman-&-diu,2023,4.json,18302373,17558059967
arunachal-pradesh,2023,4.json,14617742,24128799794
chandigarh,2023,4.json,13280078,16281223001
puducherry,2023,4.json,12986163,17024510550
tripura,2023,4.json,10140910,16819896794
meghalaya,2023,4.json,7268384,13873058692
sikkim,2023,4.json,4857324,8590608471
nagaland,2023,4.json,3797179,9674575422
andaman-&-nicobar-islands,2023,4.json,3695783,6269552499
ladakh,2023,4.json,3150218,6942986945
manipur,2023,4.json,2113200,6800325298
mizoram,2023,4.json,1500728,3540840283
lakshadweep,2023,4.json,63479,119831383
maharashtra,2024,1.json,2835770481,3372894473380
karnataka,2024,1.json,2796439155,3485251401102
telangana,2024,1.json,2179385307,3203768518758
uttar-pradesh,2024,1.json,1785296948,2477544113497
andhra-pradesh,2024,1.json,1755428485,3012730433408
rajasthan,2024,1.json,1599474007,2350500477042
madhya-pradesh,2024,1.json,1286156614,1625422555908
bihar,2024,1.json,1078734783,1637742049668
odisha,2024,1.json,864178452,1156388679885
west-bengal,2024,1.json,836408587,1422021676357
delhi,2024,1.json,650734058,832513813854
tamil-nadu,2024,1.json,640327197,913861227902
gujarat,2024,1.json,606576671,871620180614
haryana,2024,1.json,604293500,806787895434
jharkhand,2024,1.json,426759095,559720189408
chhattisgarh,2024,1.json,366176684,463010004619
assam,2024,1.json,221525056,321184143653
kerala,2024,1.json,181463966,227078111594
punjab,2024,1.json,142537179,223303668653
uttarakhand,2024,1.json,123234577,150276567903
jammu-&-kashmir,2024,1.json,75116355,93960928941
himachal-pradesh,2024,1.json,39520561,47884231339
goa,2024,1.json,35013987,45351900260
dadra-&-nagar-haveli-&-daman-&-diu,2024,1.json,21115009,19519196325
arunachal-pradesh,2024,1.json,16406414,26047044476
puducherry,2024,1.json,13446950,17386481977
chandigarh,2024,1.json,13155173,15842176181
tripura,2024,1.json,11042639,17752189374
meghalaya,2024,1.json,8531262,15629304658
sikkim,2024,1.json,5820146,9455721523
nagaland,2024,1.json,4258924,10044915308
andaman-&-nicobar-islands,2024,1.json,4184920,6859151835
manipur,2024,1.json,3845564,9242973323
ladakh,2024,1.json,2987101,6085390661
mizoram,2024,1.json,1627016,3630096730
lakshadweep,2024,1.json,81176,130052381
maharashtra,2024,2.json,3063494802,3573192363739
karnataka,2024,2.json,3042012848,3785031114140
telangana,2024,2.json,2417264357,3461538280797
uttar-pradesh,2024,2.json,2135538658,2704224110192
andhra-pradesh,2024,2.json,1930122300,3181919130066
rajasthan,2024,2.json,1818855106,2497090787776
madhya-pradesh,2024,2.json,1435472057,1779676761515
bihar,2024,2.json,1313888385,1886846814479
west-bengal,2024,2.json,980480707,1547339918455
odisha,2024,2.json,944027735,1164838957510
delhi,2024,2.json,777540400,896917378622
haryana,2024,2.json,738553925,905444862852
tamil-nadu,2024,2.json,705083686,985150945553
gujarat,2024,2.json,690395153,910625440908
jharkhand,2024,2.json,499685871,620115749218
chhattisgarh,2024,2.json,412047705,496313574007
assam,2024,2.json,271327087,345308823991
kerala,2024,2.json,194872467,242003795047
punjab,2024,2.json,171946137,244435009166
uttarakhand,2024,2.json,158564982,180612580842
jammu-&-kashmir,2024,2.json,108179014,129061756911
himachal-pradesh,2024,2.json,52583801,59849740702
goa,2024,2.json,37000806,47454830712
dadra-&-nagar-haveli-&-daman-&-diu,2024,2.json,23393115,20328992711
arunachal-pradesh,2024,2.json,19478372,29706351630
chandigarh,2024,2.json,15940973,17556903812
puducherry,2024,2.json,14564895,18242009736
tripura,2024,2.json,12787547,18137431068
meghalaya,2024,2.json,11089661,16794614094
sikkim,2024,2.json,7188322,11296518155
nagaland,2024,2.json,5598700,11012913096
ladakh,2024,2.json,5327359,10125723348
manipur,2024,2.json,5063324,10898000793
andaman-&-nicobar-islands,2024,2.json,4653224,7295780330
mizoram,2024,2.json,1977079,3798477640
lakshadweep,2024,2.json,109085,146212841
maharashtra,2024,3.json,3287403995,3687266048466
karnataka,2024,3.json,3261134095,3907206484451
telangana,2024,3.json,2610137835,3551315467582
uttar-pradesh,2024,3.json,2285955833,2717470941952
andhra-pradesh,2024,3.json,2091371362,3226645964488
rajasthan,2024,3.json,1935405035,2472256483930
madhya-pradesh,2024,3.json,1537738457,1761079506395
bihar,2024,3.json,1352876223,1780277628607
west-bengal,2024,3.json,1084916445,1607642787459
odisha,2024,3.json,1023940349,1177234055921
delhi,2024,3.json,844844523,958203334168
haryana,2024,3.json,794940220,923206773342
tamil-nadu,2024,3.json,778536701,1050780198466
gujarat,2024,3.json,757441250,963551596306
jharkhand,2024,3.json,522575883,609910026927
chhattisgarh,2024,3.json,443640102,497360014741
assam,2024,3.json,295345591,333558736213
kerala,2024,3.json,214695458,258302438795
punjab,2024,3.json,187554720,256116385006
uttarakhand,2024,3.json,159278815,173414730063
jammu-&-kashmir,2024,3.json,119555288,144470345977
himachal-pradesh,2024,3.json,49737549,56615941598
goa,2024,3.json,36762111,45913528012
dadra-&-nagar-haveli-&-daman-&-diu,2024,3.json,25446270,21564631566
arunachal-pradesh,2024,3.json,24447142,31601956705
chandigarh,2024,3.json,17708385,19259257876
puducherry,2024,3.json,16008711,19535004396
tripura,2024,3.json,14400581,19948846189
meghalaya,2024,3.json,12110124,16292956696
sikkim,2024,3.json,7713781,10569829072
nagaland,2024,3.json,6981635,12281315168
ladakh,2024,3.json,6913885,12652871712
manipur,2024,3.json,5700096,11671516831
andaman-&-nicobar-islands,2024,3.json,5279250,7663845009
mizoram,2024,3.json,2360206,3923888231
lakshadweep,2024,3.json,157478,192408087
maharashtra,2024,4.json,3634231839,4151027749542
karnataka,2024,4.json,3455056424,4151823982674
telangana,2024,4.json,2822451603,3859051317441
uttar-pradesh,2024,4.json,2544890265,3214108639641
andhra-pradesh,2024,4.json,2296445544,3452019926122
rajasthan,2024,4.json,2043469547,2793052865690
madhya-pradesh,2024,4.json,1685401835,2003300081119
bihar,2024,4.json,1559667675,2098928970690
west-bengal,2024,4.json,1227135682,1810102717185
odisha,2024,4.json,1143097568,1305457041262
delhi,2024,4.json,910543082,1057059882035
haryana,2024,4.json,841394290,1031958980143
gujarat,2024,4.json,827374966,1076014871214
tamil-nadu,2024,4.json,820423888,1087632505914
jharkhand,2024,4.json,586904686,704011145389
chhattisgarh,2024,4.json,500655404,576827823840
assam,2024,4.json,332441531,382786210274
kerala,2024,4.json,233112441,273639729453
punjab,2024,4.json,199509220,289125630546
uttarakhand,2024,4.json,171136132,194908662002
jammu-&-kashmir,2024,4.json,126261217,160951295519
himachal-pradesh,2024,4.json,53798398,63736996234
goa,2024,4.json,46131536,56562589543
dadra-&-nagar-haveli-&-daman-&-diu,2024,4.json,28463700,23945221461
arunachal-pradesh,2024,4.json,26793457,35079886873
chandigarh,2024,4.json,18528444,20501385889
puducherry,2024,4.json,16559677,19965392547
tripura,2024,4.json,15945159,22409905268
